-51,51,-51,51
4,1
14.378,4.328,0.54,-44.184,26.821,2.786
3.846,-43.846,8.461,-43.846,8.461,30.769,3.846,30.769
-20.769,-17.692,40.769,-17.692,40.769,-13.077,-20.769,-13.077
-31.538,30,37.692,30,37.692,34.615,-31.538,34.615
-33.077,0.769,-11.539,0.769,-11.539,17.692,-33.077,17.692
-39.231,-40.769,-33.077,-40.769,-33.077,-14.615,-39.231,-14.615
-13.077,-50,-5.385,-50,-5.385,-39.231,-13.077,-39.231
22.308,-2.308,31.538,-2.308,31.538,22.308,22.308,22.308
14.615,-33.077,33.077,-33.077,33.077,-25.385,14.615,-25.385
10,42.308,36.154,42.308,36.154,50,10,50
-50,39.231,-43.846,39.231,-43.846,45.385,-50,45.385
-50,-2.308,-43.846,-2.308,-43.846,22.308,-50,22.308
-5.385,-6.923,-0.769,-6.923,-0.769,-0.769,-5.385,-0.769
26.923,-42.308,33.077,-42.308,33.077,-33.077,26.923,-33.077
31.538,3.846,50,3.846,50,10,31.538,10
19.231,-50,22.308,-50,22.308,-33.077,19.231,-33.077
-50,-43.846,-39.231,-43.846,-39.231,-36.154,-50,-36.154
-25.385,17.692,-20.769,17.692,-20.769,30,-25.385,30
-33.077,-31.538,-6.923,-31.538,-6.923,-25.385,-33.077,-25.385
31.538,30,50,30,50,37.692,31.538,37.692
39.231,17.692,43.846,17.692,43.846,23.846,39.231,23.846
-31.538,40.769,-19.231,40.769,-19.231,50,-31.538,50
-6.923,23.846,-2.308,23.846,-2.308,37.692,-6.923,37.692
50,-50,51,-50,51,50,50,50
-51,-50,-51,-55,51,-51,51,-50
-50,50,-51,50,-51,-50,-50,-50
-51,51,-51,50,51,50,51,51
